t,Q,xi,V,Vtilde,tau_star,d_star,W,fallow_foc
0.0,0.1,0.0,87308.33038949923,87317.18385669838,356.0975609756097,0.0,1.1813660943927711e8,-4.570638808949248
1.825,0.1,0.0,87321.48774538563,87330.67173683622,354.27256097560974,0.0,1.1814034720359924e8,-4.572486463762649
3.65,0.1,0.0,87334.64510127205,87344.15961697407,352.44756097560975,0.0,1.1814408496792138e8,-4.574334118576054
5.475,0.1,0.0,87347.80245715845,87357.6474971119,350.62256097560976,0.0,1.181478227322435e8,-4.576181773389456
7.3,0.1,0.0,87360.95981304486,87371.13537724975,348.79756097560977,0.0,1.1815156049656563e8,-4.578029428202861
9.125,0.1,0.0,87373.80529142496,87384.5388125089,346.9995027764718,0.0,1.1815462886269224e8,-4.959289079770071
10.95,0.1,0.0,87384.40525175964,87397.33424464145,345.39542554354,0.0,1.1815287756181109e8,-4.961041878692337
12.775,0.1,0.0,87395.00521209434,87410.12967677398,343.7913483106082,0.0,1.1815112626092994e8,-4.962794677614602
14.6,0.1,0.0,87405.60517242903,87422.92510890654,342.1872710776764,0.0,1.181493749600488e8,-4.964547476536871
16.425,0.1,0.0,87416.20513276372,87435.72054103909,340.58319384474464,0.0,1.1814762365916765e8,-4.966300275459138
18.25,0.1,0.0,87426.14515186119,87448.7255334639,339.1322270859273,0.0,1.1814514209468108e8,-4.497288795878673
20.075,0.1,0.0,87434.03935312325,87462.3801627948,338.15590279686467,0.0,1.181403967130177e8,-4.4991592930472875
21.9,0.1,0.0,87441.93355438532,87476.03479212568,337.1795785078021,0.0,1.1813565133135433e8,-4.5010297902159015
23.725,0.1,0.0,87449.82775564739,87489.68942145657,336.2032542187395,0.0,1.1813090594969097e8,-4.502900287384517
25.55,0.1,0.0,87457.72195690946,87503.34405078746,335.2269299296769,0.0,1.181261605680276e8,-4.504770784553133
27.375,0.1,0.0,87464.35988338514,87515.89931231561,334.2170812515311,0.0,1.181183367584845e8,-6.153032415344807
29.2,0.1,0.0,87468.82026689773,87526.54900298569,333.1491236323078,0.0,1.181051770072832e8,-6.154491277080433
31.025,0.1,0.0,87473.28065041032,87537.19869365575,332.0811660130845,0.0,1.1809201725608191e8,-6.15595013881606
