t,V_exact,V_fourier,d_star,t0_star,Vtilde_linkage
0.0,3.356146619993366e7,3.6794378043556556e7,2.028880404259773,2.028880404259773,3.357079519505429e7
3.65,3.359142565887012e7,3.684975304052043e7,0.3854872768093567,4.035487276809357,3.35931995505283e7
7.3,3.3599707068222344e7,3.685076255629288e7,1.2419616523080055,8.541961652308006,3.360542393091673e7
10.95,3.360433318285123e7,3.684909597843708e7,1.1418034545412308,12.09180345454123,3.3609589695808746e7
14.6,3.361485911170784e7,3.688350837199199e7,0.46299159330308093,15.06299159330308,3.361699115153411e7
18.25,3.361941363099153e7,3.686688633412251e7,1.8326750568246952,20.082675056824694,3.3627854890649885e7
21.9,3.363536643657371e7,3.688341840192666e7,0.2700784294267977,22.170078429426795,3.363661086876364e7
25.55,3.3639621995894946e7,3.688989132988294e7,1.2218648307735909,26.77186483077359,3.364525302481542e7
29.2,3.364441298046436e7,3.689131832637854e7,0.9483130029884589,30.14831300298846,3.3648783871799834e7
32.85,3.365097734516424e7,3.6906636924842075e7,0.49036536672246334,33.340365366722466,3.365323786955899e7
36.5,3.3652659469062924e7,3.689949937758145e7,1.5218235518972953,38.0218235518973,3.365967573595862e7
40.15,3.36639765266024e7,3.6923529043877564e7,0.15218235518973056,40.30218235518973,3.366467832340147e7
43.8,3.366429693823211e7,3.6919588886062436e7,1.1030046737294914,44.90300467372949,3.36693838810062e7
47.45,3.366748890764981e7,3.691501230362668e7,0.7200169397956392,48.170016939795644,3.367080977858897e7
51.1,3.367060469477136e7,3.693915713180114e7,0.45776945355334603,51.55776945355335,3.3672716182113014e7
54.75,3.366984146094397e7,3.692431600437934e7,1.1444236338833638,55.89442363388336,3.367512030791064e7
58.4,3.367723028678049e7,3.6931435028628506e7,0.05385522982980584,58.453855229829806,3.367747873906369e7
62.05,3.367435234783341e7,3.694095334171396e7,0.8711939610919969,62.921193961091994,3.367837134003001e7
65.7,3.3675386912113346e7,3.6937498357896894e7,0.4751967060501796,66.17519670605019,3.3677579097563975e7
69.35,3.367537377153024e7,3.694568355204688e7,0.3424115647818024,69.69241156478179,3.367695337534708e7
73.0,3.36730420157973e7,3.693913232726064e7,0.7023826969883133,73.70238269698831,3.367628208428122e7
76.65,3.367618957582392e7,3.694769444573292e7,0.005524359012774179,76.65552435901277,3.367621506067759e7
80.3,3.367213510565402e7,3.69422042883472e7,0.4529974390474078,80.7529974390474,3.367422467609926e7
83.95,3.367056648117852e7,3.693449693979236e7,0.20440128347261044,84.15440128347261,3.367150927615905e7
87.6,3.366898499585751e7,3.694511833642933e7,0.0,87.6,3.366898499585751e7
91.25,3.3666640610633776e7,3.6935206154656716e7,0.0,91.25,3.3666640610633776e7
94.9,3.366403489517547e7,3.6940493187633134e7,0.0,94.9,3.366403489517547e7
98.55,3.366057612067701e7,3.694218067676321e7,0.0,98.55,3.366057612067701e7
102.2,3.365645291704234e7,3.693629209759442e7,0.0,102.2,3.365645291704234e7
105.85,3.365251828530936e7,3.694027252634387e7,0.0,105.85,3.365251828530936e7
109.5,3.364887915844089e7,3.692828788162007e7,0.0,109.5,3.364887915844089e7
113.15,3.364541467662536e7,3.692689810510298e7,0.0,113.15,3.364541467662536e7
116.8,3.36413856641192e7,3.692238459575382e7,0.0,116.8,3.36413856641192e7
120.45,3.3636783375735514e7,3.691713450164821e7,0.0,120.45,3.3636783375735514e7
124.1,3.363240156708163e7,3.692256405719355e7,0.0,124.1,3.363240156708163e7
127.75,3.362835314185303e7,3.6916689943476826e7,0.0,127.75,3.362835314185303e7
131.4,3.362487281749167e7,3.691981628052034e7,0.0,131.4,3.362487281749167e7
135.05,3.362104728886565e7,3.691585135122567e7,0.0,135.05,3.362104728886565e7
138.7,3.361674850206568e7,3.691001717164636e7,0.0,138.7,3.361674850206568e7
142.35,3.361265872592621e7,3.691152425357046e7,0.0,142.35,3.361265872592621e7
146.0,3.360883662347716e7,3.690495691462413e7,0.0,146.0,3.360883662347716e7
149.65,3.360591713297468e7,3.691049543417471e7,0.0,149.65,3.360591713297468e7
153.3,3.3602781992860995e7,3.69113227240928e7,0.0,153.3,3.3602781992860995e7
156.95,3.359927371085906e7,3.6912928930318415e7,0.0,156.95,3.359927371085906e7
160.6,3.359588123179031e7,3.691842825746978e7,0.0,160.6,3.359588123179031e7
164.25,3.35925780827845e7,3.691361398720941e7,0.0,164.25,3.35925780827845e7
167.9,3.3590440447019026e7,3.691751045852734e7,0.0,167.9,3.3590440447019026e7
171.55,3.3588121982317306e7,3.691467029117928e7,0.0,171.55,3.3588121982317306e7
175.2,3.358554258892936e7,3.691525133817126e7,0.0,175.2,3.358554258892936e7
