t0,Vtilde_exact,Vtilde_fourier
0.0,3.358368266374506e7,3.3599799563954696e7
3.65,3.358873572664615e7,3.363159744407706e7
7.3,3.3593789506923005e7,3.358944174238856e7
10.95,3.36042852382241e7,3.365488673595871e7
14.6,3.36178308418882e7,3.362032941355584e7
18.25,3.36287981221692e7,3.364790541811904e7
21.9,3.363553640273622e7,3.366008782288827e7
25.55,3.3640364568044156e7,3.364371291694669e7
29.2,3.364612762393153e7,3.368092631465475e7
32.85,3.365329606624427e7,3.3658763583271556e7
36.5,3.365990911336237e7,3.3679783488600865e7
40.15,3.36643962594344e7,3.368350075263979e7
43.8,3.3667128497882046e7,3.3674177568240136e7
47.45,3.3669639700564414e7,3.3698334911040545e7
51.1,3.367277326663503e7,3.36796353946397e7
54.75,3.36757548453489e7,3.3696023648013234e7
58.4,3.367745004181728e7,3.369385458218883e7
62.05,3.367765945668052e7,3.368697688452816e7
65.7,3.367725413986691e7,3.370260087246399e7
69.35,3.3677131420544185e7,3.3684852582517095e7
73.0,3.367704182943985e7,3.369757970898172e7
76.65,3.36762175116683e7,3.369094101948032e7
80.3,3.367421847465488e7,3.3685116091648616e7
83.95,3.3671512354888864e7,3.369462404183189e7
87.6,3.366898499585751e7,3.367726510838749e7
91.25,3.3666640610633776e7,3.3687329136742264e7
94.9,3.366403489517547e7,3.3677481981659085e7
98.55,3.366057612067701e7,3.367259419639525e7
102.2,3.365645291704234e7,3.367778232476647e7
105.85,3.365251828530936e7,3.366107740577252e7
109.5,3.364887915844089e7,3.366953706040236e7
113.15,3.364541467662536e7,3.3657670116751276e7
116.8,3.36413856641192e7,3.365412574005808e7
120.45,3.3636783375735514e7,3.365642866970531e7
124.1,3.363240156708163e7,3.364092292592668e7
127.75,3.362835314185303e7,3.364873338427328e7
131.4,3.362487281749167e7,3.363583834299277e7
135.05,3.362104728886565e7,3.363414277756191e7
138.7,3.361674850206568e7,3.36346115037161e7
142.35,3.361265872592621e7,3.3620807412959546e7
146.0,3.360883662347716e7,3.362866272803719e7
149.65,3.360591713297468e7,3.361540830031991e7
153.3,3.3602781992860995e7,3.361592356509501e7
156.95,3.359927371085906e7,3.361516898144519e7
160.6,3.359588123179031e7,3.3603348046241604e7
164.25,3.35925780827845e7,3.361158740866235e7
167.9,3.3590440447019026e7,3.359825047405767e7
171.55,3.3588121982317306e7,3.360108470158899e7
175.2,3.358554258892936e7,3.359926034779846e7
178.85,3.358289082299111e7,3.358942190335497e7
182.5,3.358004614602942e7,3.359801471667466e7
186.15,3.357855653823157e7,3.358448271503312e7
189.8,3.357683154705778e7,3.3589485478956364e7
193.45,3.3574996128814586e7,3.358632068013163e7
197.1,3.357280594949807e7,3.357820764358473e7
200.75,3.357005098201372e7,3.358679602151542e7
204.4,3.356877175875397e7,3.357261246140546e7
208.05,3.356711730411888e7,3.35794302549012e7
211.7,3.356557729942937e7,3.357427475469323e7
215.35,3.3563304598175175e7,3.356743400955549e7
219.0,3.356001173249024e7,3.357538153178455e7
222.65,3.355824665373799e7,3.3559780656163454e7
226.3,3.355587118617092e7,3.356792176794319e7
229.95,3.355395871242647e7,3.355974643756938e7
233.6,3.3550823633687206e7,3.355357968918316e7
237.25,3.3546119142916013e7,3.355998134893365e7
240.9,3.3542912125004176e7,3.3541865890141215e7
244.55,3.353872709173542e7,3.3550753494319715e7
248.2,3.35355588016987e7,3.353805927713371e7
251.85,3.35305244308243e7,3.353185473351871e7
255.5,3.3523247037124407e7,3.353548597558369e7
259.15,3.351731478333377e7,3.351331520496127e7
262.8,3.3509820227028184e7,3.352235810616938e7
266.45,3.3504267147632256e7,3.350293461175001e7
270.1,3.349597163637213e7,3.3495922092744526e7
273.75,3.348458085298797e7,3.349512210811819e7
277.4,3.3474166321192697e7,3.3466661204599503e7
281.05,3.3461204337513987e7,3.3475480424614843e7
284.7,3.3451879242317524e7,3.344585979299244e7
288.35,3.3438566284765247e7,3.3437459203720268e7
292.0,3.342103271979071e7,3.3429959344501287e7
295.65,3.3403607258981768e7,3.3391709687853727e7
299.3,3.338176007949009e7,3.3401086570640076e7
302.95,3.3367188503395822e7,3.3355013503841538e7
306.6,3.3346864874979008e7,3.3346032093966622e7
310.25,3.332062110233421e7,3.3328782550427612e7
313.9,3.3291423888530903e7,3.327381377156198e7
317.55,3.3252557072576646e7,3.3291207413975444e7
321.2,3.323059169771696e7,3.3211031833838046e7
324.85,3.320394055188125e7,3.321300281229625e7
328.5,3.3162874779906113e7,3.318453338190011e7
332.15,3.2964757102356624e7,3.2999616660221927e7
335.8,3.2975895274109036e7,3.3039277437927477e7
339.45,3.3044750218298085e7,3.3041243120993163e7
343.1,3.3010633872591455e7,3.3011849333637044e7
346.75,3.2962126600894853e7,3.295996884540785e7
350.4,3.2913992720096357e7,3.282092236562806e7
354.05,3.311130917867759e7,3.326887212369284e7
357.7,3.3465942255283967e7,3.368402455310576e7
361.35,3.3559600192163445e7,3.3550680826167703e7
