iteration,delta_V
1,4.799095454826096e6
2,2.424817052226726e6
3,1.2188859708205834e6
4,611084.8045050241
5,305955.835444171
6,153081.65965602174
7,76566.81398514286
8,38289.9091562964
9,19146.580884430557
10,9573.697113063186
11,4786.950235258788
12,2393.5005382969975
13,1196.7566242441535
14,598.3799007833004
15,299.19034749642015
16,149.59527300670743
17,74.79766128957272
18,37.398836843669415
19,18.69941995665431
20,9.34971036016941
21,4.674855273216963
22,2.3374276608228683
23,1.168713841587305
24,0.5843569226562977
25,0.2921784557402134
26,0.14608922973275185
27,0.07304461672902107
28,0.036522310227155685
29,0.018261145800352097
30,0.009130578488111496
31,0.004565298557281494
32,0.0022826381027698517
33,0.0011413246393203735
34,0.0005706623196601868
35,0.00028532370924949646
36,0.00014266371726989746
37,7.133558392524719e-5
38,3.566965460777283e-5
39,1.7836689949035645e-5
40,8.91461968421936e-6
41,4.459172487258911e-6
42,2.2277235984802246e-6
43,1.1101365089416504e-6
44,5.587935447692871e-7
