t,fallow,V,Vtilde,tau_star,d_star,Vtilde_prime,delta_Vtilde,stocking_resid
0.0,optimal_fallow,59253.060597603704,58996.54568091613,347.0668261138242,63.08641975308641,9.3855360790781,8.178329408961595,1.2072066701165056
1.825,optimal_fallow,59267.8784356894,59011.609852044414,345.6563171860096,61.261419753086415,4.399027545675723,8.178329408961595,-3.7793018632858724
3.65,optimal_fallow,59282.69627377511,59026.6740231727,344.2458082581949,59.43641975308641,9.3855360790781,8.178329408961595,1.2072066701165056
5.475,optimal_fallow,59297.51896179349,59041.785899748196,342.8504315818619,57.61141975308641,9.3855360790781,8.178329408961595,1.2072066701165056
7.3,optimal_fallow,59312.34593579888,59056.93993462589,341.46842759288484,55.786419753086406,9.3855360790781,8.178329408961595,1.2072066701165056
9.125,optimal_fallow,59327.173476638985,59072.11259124266,340.0883224585287,53.96141975308641,9.3855360790781,8.178329408961595,1.2072066701165056
10.95,optimal_fallow,59342.00963336658,59087.568298293416,338.73707991441023,52.13641975308641,9.3855360790781,8.178329408961595,1.2072066701165056
12.775,optimal_fallow,59356.845790094165,59103.024005344174,337.38583737029177,50.31141975308641,9.3855360790781,8.178329408961595,1.2072066701165056
14.6,optimal_fallow,59371.687367398066,59118.83350907305,336.05414495593135,48.48641975308641,9.3855360790781,8.178329408961595,1.2072066701165056
16.425,optimal_fallow,59386.53267134818,59134.88624801812,334.73589325577956,46.661419753086406,9.3855360790781,8.178329408961595,1.2072066701165056
18.25,optimal_fallow,59401.379105280226,59151.055893329234,333.4215031494025,44.83641975308641,9.3855360790781,8.178329408961595,1.2072066701165056
20.075,optimal_fallow,59416.233562084075,59168.05557383919,332.13453035882543,43.01141975308641,9.3855360790781,8.178329408961595,1.2072066701165056
21.9,optimal_fallow,59431.08801888792,59185.05525434915,330.8475575682483,41.18641975308641,9.3855360790781,8.178329408961595,1.2072066701165056
23.725,optimal_fallow,59445.94849527668,59202.96278092605,329.58256296440214,39.36141975308641,9.3855360790781,8.178329408961595,1.2072066701165056
25.55,optimal_fallow,59460.81215182352,59221.34992429303,328.32917947807425,37.536419753086406,9.3855360790781,8.178329408961595,1.2072066701165056
27.375,optimal_fallow,59475.67750544027,59240.07345103929,327.0818228308619,35.71141975308641,9.3855360790781,8.178329408961595,1.2072066701165056
29.2,optimal_fallow,59490.55032616462,59260.2770646544,325.8609842757582,33.886419753086415,4.399027545675723,8.178329408961595,-3.7793018632858724
31.025,optimal_fallow,59505.42314688898,59280.480678269516,324.64014572065446,32.06141975308641,9.3855360790781,8.178329408961595,1.2072066701165056
32.85,optimal_fallow,59520.302543515616,59302.24158566556,323.4429209196787,30.23641975308641,9.3855360790781,8.178329408961595,1.2072066701165056
34.675,optimal_fallow,59535.18454782765,59324.62004059541,322.2550601936159,28.411419753086413,9.3855360790781,8.178329408961595,1.2072066701165056
36.5,optimal_fallow,59550.068821092354,59347.55640540464,321.07423824043826,26.58641975308641,9.3855360790781,8.178329408961595,1.2072066701165056
38.325,optimal_fallow,59564.9600146627,59372.19439534597,319.9148845445607,24.761419753086408,9.3855360790781,8.178329408961595,1.2072066701165056
40.15,optimal_fallow,59579.85120823305,59396.8323852873,318.7555308486831,22.936419753086412,9.3855360790781,8.178329408961595,1.2072066701165056
41.975,optimal_fallow,59594.74955341752,59422.97470192143,317.61748268132317,21.11141975308641,9.3855360790781,8.178329408961595,1.2072066701165056
43.8,optimal_fallow,59609.64994192032,59449.546826182064,316.4855218078254,19.286419753086413,9.3855360790781,8.178329408961595,1.2072066701165056
45.625,optimal_fallow,59624.55317011758,59476.41039443879,315.3605600446187,17.46141975308641,9.3855360790781,8.178329408961595,1.2072066701165056
47.45,optimal_fallow,59639.46275923045,59503.926797246735,314.251276288464,15.636419753086408,9.3855360790781,8.178329408961595,1.2072066701165056
