t,k,m,lambda,k_baseline,m_baseline,lambda_baseline
0,0.008055010829881904,0.0005676270194373028,0.007480636841111042,0.005399435230304014,0.00022103418361512928,0.0008300292306841371
1,0.008221899063177888,0.0005744650777000027,0.008010031554551801,0.005436498825114265,0.00022179315686222446,0.0008559972521176766
2,0.008389656740860223,0.0005812955567803978,0.008568458706529263,0.0054733191608924295,0.00022254791549178042,0.000882455797443978
3,0.008558094892978776,0.0005881124295546061,0.009156487610286335,0.005509876851393534,0.00022329817403321758,0.0009093922310465952
4,0.008727015858722292,0.0005949095349701305,0.009774578065300327,0.005546152385316126,0.0002240436463025218,0.0009367923559219449
5,0.008896213569496448,0.0006016805873572284,0.010423066446734085,0.005582126143355909,0.00022478404555915607,0.0009646403769525275
6,0.009065473883342376,0.000608419186443064,0.011102151669565529,0.005617778415788493,0.00022551908466642736,0.0009929188683790195
7,0.009234574971235972,0.000615118828053454,0.011811881193705381,0.005653089420561074,0.00022624847625519337,0.0010216087458651767
8,0.009403287755452119,0.000621772915482907,0.012552137253418933,0.00568803932187104,0.00022697193289077252,0.0010506892435453944
9,0.009571376399801903,0.0006283747715094701,0.013322623509831922,0.005722608249207963,0.00022768916724292298,0.001080137896437703
10,0.009738598851155675,0.0006349176510267272,0.014122852338716494,0.005756776316833858,0.00022839989225873942,0.0011099305285947661
11,0.009904707431255294,0.00064139475426111,0.014952132976606731,0.005790523643674808,0.00022910382133831757,0.0011400412473519714
12,0.01006944947739811,0.0006477992405385754,0.015809560756076552,0.005823830373595744,0.0002298006685130248,0.001170442444014909
13,0.0102325680301469,0.0006541242425606394,0.016694007665241192,0.005856676696028448,0.00023049014862620842,0.0012011048013082762
14,0.010393802565788758,0.0006603628811458494,0.017604114466769686,0.005889042866921509,0.0002311719775161688,0.0012319973078846282
15,0.010552889770836302,0.0006665082803889835,0.018538284607527974,0.005920909229979462,0.00023184587220121625,0.0012630872801642735
16,0.010709564355440654,0.0006725535831866709,0.019494680141090938,0.005952256238157119,0.00023251155106662074,0.0012943403917470917
17,0.010863559902173612,0.0006784919670747439,0.020471219871532966,0.005983064475373613,0.00023316873405326662,0.0013257207106032378
18,0.011014609746239225,0.0006843166603195006,0.021465579908006113,0.006013314678409684,0.0002338171428478077,0.00135719074421253
19,0.011162447882800419,0.0006900209582022014,0.0224751967956247,0.006042987758950459,0.0002344565010741227,0.0013887114927821909
20,0.011306809896755352,0.0006955982394335785,0.023497273359217568,0.006072064825734915,0.00023508653448585346,0.0014202425106293838
21,0.011447433909980459,0.0007010419826329375,0.02452878736282741,0.00610052720677245,0.0002357069711598164,0.0014517419757692413
22,0.011584061540772366,0.0007063457828045806,0.025566503049826987,0.006128356471585809,0.00023631754169006774,0.001483166767700666
23,0.011716438869977018,0.0007115033677428524,0.02660698558670532,0.006155534453439099,0.0002369179793823888,0.0015144725533317634
24,0.011844317408093302,0.0007165086142960288,0.02764661838862279,0.0061820432715088925,0.00023750802044897353,0.0015456138809343991
25,0.011967455057484517,0.0007213555644187023,0.02868162325752208,0.006207865352955759,0.00023808740420307856,0.0015765442819635413
26,0.01208561706372711,0.0007260384409420945,0.02970808321481486,0.00623298345485328,0.00023865587325340112,0.001607216380522125
