t,ymin_case,fallow,V,Vtilde,tau_star,d_star,Vtilde_prime,delta_Vtilde,stocking_resid
0.0,ymin_zero,optimal_fallow,90129.07468423476,90052.92320093825,262.7091594495411,9.012345679012345,12.367648831910525,12.370225080217315,-0.002576248306789708
1.825,ymin_zero,optimal_fallow,90151.61380455439,90114.07975929222,274.93694987247693,7.187345679012345,12.367648831910525,12.370225080217315,-0.002576248306789708
3.65,ymin_zero,optimal_fallow,90174.15292487401,90175.23631764617,287.16474029541274,5.3623456790123445,12.367648831910525,12.370225080217315,-0.002576248306789708
5.475,ymin_zero,optimal_fallow,90200.48340843059,90225.15099665083,296.7765432098765,3.5373456790123443,12.367648831910525,12.370225080217315,-0.002576248306789708
7.3,ymin_zero,optimal_fallow,90230.16439903376,90265.13099157937,304.0765432098765,1.7123456790123446,12.367648831910525,12.370225080217315,-0.002576248306789708
9.125,ymin_zero,optimal_fallow,90258.44391774439,90304.03635466775,311.1217801524718,0.0,12.367648831910525,12.370415938995585,-0.0027671070850594504
10.95,ymin_zero,optimal_fallow,90265.42106368822,90326.607313786,314.2946186225151,0.0,12.367648831910525,12.373507851203563,-0.0058590192930374485
12.775,ymin_zero,optimal_fallow,90272.39820963207,90349.17827290423,317.46745709255833,0.0,12.367648831910525,12.37659976341154,-0.008950931501015447
14.6,ymin_zero,optimal_fallow,90278.72855712338,90366.20572947638,319.04285737588367,0.0,7.241807436549957,12.378932291709095,-5.137124855159138
16.425,ymin_zero,optimal_fallow,90284.61423067859,90379.42202804808,319.5200189058404,0.0,7.241807436549957,12.380742743568232,-5.138935307018276
18.25,ymin_zero,optimal_fallow,90290.3089450571,90392.40606018892,320.02553555083495,0.0,6.210926291371984,12.382521378108073,-6.171595086736089
20.075,ymin_zero,optimal_fallow,90294.64784928109,90403.74100067068,320.7323735125978,0.0,6.210926291371984,12.384074109680917,-6.173147818308933
21.9,ymin_zero,optimal_fallow,90298.98675350509,90415.07594115243,321.43921147436066,0.0,6.210926291371984,12.38562684125376,-6.174700549881776
23.725,ymin_zero,optimal_fallow,90302.0610666697,90424.29326694953,321.85445666430627,0.0,4.437581349968907,12.386889488623225,-7.9493081386543185
25.55,ymin_zero,optimal_fallow,90304.46729399166,90432.39185291322,322.1156528427258,0.0,4.437581349968907,12.387998883960718,-7.950417533991811
27.375,ymin_zero,optimal_fallow,90306.39299248297,90439.67681670883,322.1492137769598,0.0,2.0301513731785445,12.388996824206691,-10.358845451028147
29.2,ymin_zero,optimal_fallow,90306.20436411953,90443.38184296488,321.1811796367774,0.0,2.0301513731785445,12.389504362049985,-10.359352988871441
31.025,ymin_zero,optimal_fallow,90306.01573575608,90447.08686922093,320.21314549659496,0.0,2.0301513731785445,12.39001189989328,-10.359860526714735
32.85,ymin_zero,optimal_fallow,90301.81892264928,90446.08819230521,318.63148148148144,0.0,-1.5692813799064296,12.38987509483633,-13.95915647474276
34.675,ymin_zero,optimal_fallow,90296.03265697185,90443.22425378687,316.80648148148146,0.0,-1.5692813799064296,12.389482774491354,-13.958764154397784
36.5,ymin_zero,optimal_fallow,90287.73026589671,90440.46983883469,317.2345679012345,0.0,-1.3262290824580227,12.389105457374617,-13.71533453983264
38.325,ymin_zero,optimal_fallow,90271.75369235859,90438.0494707592,324.53456790123454,0.0,-1.3262290824580227,12.388773900104002,-13.715002982562025
40.15,ymin_zero,optimal_fallow,90255.77711882045,90435.62910268371,331.83456790123455,0.0,-1.3262290824580227,12.388442342833388,-13.71467142529141
41.975,ymin_zero,optimal_fallow,90252.17757281938,90436.7260216543,332.03734567901233,0.0,1.1517030830789292,12.388592605706071,-11.236889522627141
43.8,ymin_zero,optimal_fallow,90252.11432040032,90438.82787978093,330.21234567901234,0.0,1.1517030830789292,12.388880531476842,-11.237177448397912
45.625,ymin_zero,optimal_fallow,90250.31675047864,90439.19423540235,328.38734567901236,0.0,-1.929408213808298,12.388930717178406,-14.318338930986704
47.45,ymin_zero,optimal_fallow,90244.63430935107,90435.67306541215,326.56234567901237,0.0,-1.929408213808298,12.388448365124953,-14.31785657893325
49.275,ymin_zero,optimal_fallow,90238.9518682235,90432.15189542195,324.7373456790124,0.0,-1.929408213808298,12.387966013071502,-14.3173742268798
51.1,ymin_zero,optimal_fallow,90227.72107582659,90423.76574074499,323.56840911148043,0.0,-5.1047809747089525,12.38681722475959,-17.49159819946854
52.925,ymin_zero,optimal_fallow,90215.4295692164,90414.44951546614,322.52489643544976,0.0,-5.1047809747089525,12.385541029515911,-17.490322004224865
54.75,ymin_zero,optimal_fallow,90201.7243554879,90403.6779169494,321.6739185536288,0.0,-7.257935902021337,12.384065468075262,-19.6420013700966
56.575,ymin_zero,optimal_fallow,90185.61583965823,90390.4321839282,321.1502498219645,0.0,-7.257935902021337,12.382250984099755,-19.640186886121093
58.4,ymin_zero,optimal_fallow,90169.50732382857,90377.18645090701,320.6265810903002,0.0,-7.257935902021337,12.380436500124251,-19.63837240214559
60.225,ymin_zero,optimal_fallow,90150.4125315006,90359.9228219457,320.1867171647653,0.0,-9.700792506644556,12.378071619444619,-22.078864126089172
62.05,ymin_zero,optimal_fallow,90130.99047599474,90342.21887562107,319.75603732757327,0.0,-9.700792506644556,12.375646421317956,-22.076438927962514
63.875,ymin_zero,optimal_fallow,90110.26443268082,90322.52301489047,319.2534368515459,0.0,-12.226742673122745,12.372948358204175,-24.59969103132692
65.7,ymin_zero,optimal_fallow,90087.82457681916,90300.20920951202,318.656312107335,0.0,-12.226742673122745,12.369891672535895,-24.59663434565864
67.525,ymin_zero,optimal_fallow,90065.38472095749,90277.89540413357,318.05918736312407,0.0,-12.226742673122745,12.366834986867614,-24.59357765999036
69.35,ymin_zero,optimal_fallow,90040.72293710888,90252.14257615466,317.4187659442457,0.0,-14.183615385719934,12.363307202212969,-26.546922587932904
71.175,ymin_zero,optimal_fallow,90015.97569449154,90226.25747807571,316.77667926864933,0.0,-14.183615385719934,12.359761298366537,-26.54337668408647
73.0,ymin_zero,optimal_fallow,89990.35796687438,90198.95280985125,316.193889727332,0.0,-15.758754862262531,12.356020932856337,-28.114775795118867
74.825,ymin_zero,optimal_fallow,89963.84799213237,90170.19308222762,315.6718797486506,0.0,-15.758754862262531,12.352081244140772,-28.110836106403305
76.65,ymin_zero,optimal_fallow,89937.30378151977,90141.36936490674,315.1444852304957,0.0,-17.178800198442104,12.348132789713254,-29.52693298815536
78.475,ymin_zero,optimal_fallow,89909.40725401853,90110.01805454459,314.4044014031395,0.0,-17.178800198442104,12.343838089663643,-29.522638288105746
80.3,ymin_zero,optimal_fallow,89881.51072651728,90078.66674418242,313.66431757578323,0.0,-17.178800198442104,12.339543389614033,-29.518343588056137
82.125,ymin_zero,optimal_fallow,89853.5009659069,90046.91832161677,312.8016919729126,0.0,-17.57047250874891,12.335194290632437,-29.905666799381347
83.95,ymin_zero,optimal_fallow,89825.40061880919,90014.8522092883,311.84103294963035,0.0,-17.57047250874891,12.330801672505249,-29.90127418125416
85.775,ymin_zero,optimal_fallow,89797.19901471,89982.56865036771,310.90928423322106,0.0,-18.949194541010844,12.32637926717366,-31.275573808184504
87.6,ymin_zero,optimal_fallow,89767.92697945223,89947.98637033037,310.2831587608972,0.0,-18.949194541010844,12.321641968538408,-31.27083650954925
89.425,ymin_zero,optimal_fallow,89738.65494419445,89913.40409029301,309.6570332885733,0.0,-18.949194541010844,12.316904669903154,-31.266099210914
91.25,ymin_zero,optimal_fallow,89709.97003404572,89879.74700072435,308.6679920376457,0.0,-18.127929577032845,12.312294109688269,-30.44022368672111
93.075,ymin_zero,optimal_fallow,89681.64914146462,89846.66352924627,307.45394300398374,0.0,-18.127929577032845,12.307762127294012,-30.435691704326857
94.9,ymin_zero,optimal_fallow,89653.11868503038,89813.07614742298,306.30308428466844,0.0,-19.9917075661212,12.303161116085342,-32.29486868220654
96.725,ymin_zero,optimal_fallow,89623.3832364407,89776.59128111482,305.51556987284664,0.0,-19.9917075661212,12.298163189193811,-32.28987075531501
98.55,ymin_zero,optimal_fallow,89593.64778785102,89740.10641480665,304.7280554610248,0.0,-19.9917075661212,12.293165262302283,-32.28487282842348
100.375,ymin_zero,optimal_fallow,89568.28468545506,89708.61377364307,304.6395552119542,0.0,-15.963112430754403,12.288851201868916,-28.25196363262332
