t,k,m,lambda
0,0.005399435230304014,0.00022103418361512928,0.002877301338002866
1,0.005436498825114265,0.00022179315686222446,0.003023588375881043
2,0.0054733191608924295,0.00022254791549178042,0.0031751716091651017
3,0.005509876851393534,0.00022329817403321758,0.003332034152779911
4,0.005546152385316126,0.0002240436463025218,0.0034941379507084256
5,0.005582126143355909,0.00022478404555915607,0.0036614224460226417
6,0.005617778415788493,0.00022551908466642736,0.0038338033113028015
7,0.005653089420561074,0.00022624847625519337,0.004011171255815406
8,0.00568803932187104,0.00022697193289077252,0.004193390926314519
9,0.005722608249207963,0.00022768916724292298,0.004380299918641999
10,0.005756776316833858,0.00022839989225873942,0.004571707917409341
11,0.005790523643674808,0.00022910382133831757,0.004767395980927575
12,0.005823830373595744,0.0002298006685130248,0.004967115988196024
13,0.005856676696028448,0.00023049014862620842,0.00517059026415081
14,0.005889042866921509,0.0002311719775161688,0.005377511398500625
15,0.005920909229979462,0.00023184587220121625,0.00558754227233331
16,0.005952256238157119,0.00023251155106662074,0.005800316305260587
17,0.005983064475373613,0.00023316873405326662,0.006015437934182766
18,0.006013314678409684,0.0002338171428478077,0.006232483332808346
19,0.006042987758950459,0.0002344565010741227,0.006451001378868813
20,0.006072064825734915,0.00023508653448585346,0.006670514873545126
21,0.00610052720677245,0.0002357069711598164,0.006890522014993712
22,0.006128356471585809,0.00023631754169006774,0.007110498125056226
23,0.006155534453439099,0.0002369179793823888,0.0073298976252931854
24,0.0061820432715088925,0.00023750802044897353,0.007548156255435421
25,0.006207865352955759,0.00023808740420307856,0.007764693524244122
26,0.00623298345485328,0.00023865587325340112,0.007978915379654452
27,0.0062573806859311295,0.00023921317369794958,0.00819021708199996
28,0.006281040528088726,0.00023975905531715839,0.008397986261125836
29,0.006303946857635717,0.0002402932717660104,0.00860160613534972
30,0.006326083966215733,0.00024081558076491908,0.008800458867570348
31,0.006347436581369899,0.00024132574428911919,0.008993929031407161
32,0.006367989886696991,0.00024182352875632982,0.009181407158124794
33,0.006387729541567329,0.0002423087052124289,0.009362293333298433
34,0.006406641700348372,0.00024278104951490101,0.009536000810749196
35,0.006424713031100253,0.00024324034251380796,0.009701959610255429
36,0.006441930733700637,0.00024368637023003653,0.009859620064953051
37,0.006458282557358974,0.0002441189240305758,0.010008456284196072
38,0.00647375681748137,0.00024453780080059074,0.010147969497968243
39,0.006488342411848435,0.0002449428031120386,0.010277691249722337
40,0.006502028836069814,0.0002453337393886037,0.010397186405770567
41,0.006514806198280394,0.00024571042406670927,0.010506055951043855
42,0.0065266652330448,0.0002460726777523796,0.01060393954315826
43,0.006537597314438385,0.0002464203273737248,0.010690517799244544
44,0.006547594468274689,0.0002467532063288332,0.010765514292873394
45,0.006556649383451046,0.00024707115462884875,0.010828697241602373
46,0.006564755422386139,0.00024737401903603064,0.010879880869130446
47,0.0065719066305250816,0.0002476616531965863,0.010918926429717913
48,0.006578097744889985,0.0002479339177680893,0.010945742886357015
49,0.006583324201655785,0.0002481906805412818,0.01096028723809874
50,0.006587582142733703,0.00024843181655609186,0.010962564495894812
51,0.006590868421346684,0.00024865720821167766,0.010952627310238288
52,0.006593180606583748,0.0002488667453703497,0.010930575257720166
53,0.0065945169869224725,0.0002490603254551989,0.010896553797306628
54,0.006594876572711199,0.00024923785354128797,0.010850752910626937
55,0.006594259097605172,0.0002493992424402731,0.010793405443795452
56,0.006592665018953148,0.0002495444127783144,0.010724785171229604
57,0.006590095517133548,0.00024967329306716955,0.01064520460453047
58,0.0065865524938417954,0.0002497858197683486,0.01055501257173241
59,0.00658203856933283,0.00024988193735024156,0.010454591594080295
60,0.006576557078625345,0.00024996159833812556,0.01034435508893981
61,0.0065701120666767565,0.0002500247633569736,0.010224744428480176
62,0.006562708282540333,0.00025007140116700227,0.010096225884387914
63,0.006554351172518185,0.0002501014886919013,0.009959287489080378
64,0.006545046872326308,0.00025011501103969983,0.009814435843702491
65,0.006534802198290043,0.00025011196151624045,0.009662192902627393
66,0.006523624637590606,0.0002500923416312367,0.009503092763266443
67,0.00651152233758541,0.00025005616109690683,0.00933767848875546
68,0.006498504094227037,0.0002500034378191857,0.009166498989556182
69,0.0064845793396076795,0.00024993419788152643,0.008990105988229899
70,0.006469758128657758,0.0002498484755213199,0.008809051089644639
71,0.006454051125029331,0.0002497463130989671,0.008623882976707162
72,0.00643746958619636,0.0002496277610596521,0.008435144749407342
73,0.00642002534780584,0.0002494928778878745,0.008243371422567326
74,0.006401730807315007,0.00024934173005481406,0.008049087595238447
75,0.006382598906951343,0.0002491743919586052,0.007852805302225586
76,0.006362643116033343,0.00024899094585761607,0.007655022055776254
77,0.006341877412691106,0.0002487914817968341,0.00745621908308263
78,0.006320316265026898,0.00024857609752746985,0.007256859762940464
79,0.006297974611756589,0.00024834489841990494,0.0070573882627144304
80,0.0062748678423738555,0.0002480979973701109,0.0068582283746978735
81,0.006251011776879347,0.0002478355146996891,0.0066597825490462845
82,0.006226422645117921,0.00024755757804967895,0.006462431118720831
83,0.006201117065767021,0.00024726432226829194,0.006266531710314662
84,0.006175112025019843,0.00024695588929274733,0.006072418833256609
85,0.006148424855006923,0.0002466324280253796,0.005880403638697961
86,0.006121073211999701,0.0002462940942042066,0.0056907738383907705
