t,V_xi0,Vtilde_xi0,tau_star_xi0,d_star_xi0,V_xi_small,Vtilde_xi_small,tau_star_xi_small,d_star_xi_small,V_xi_mid,Vtilde_xi_mid,tau_star_xi_mid,d_star_xi_mid,W
0.0,107208.34977106012,107263.59898076256,312.85714285714283,0.0,107697.73136457076,107753.47611903408,312.85714285714283,0.0,113282.85692222178,113350.2388553049,312.8571428571428,0.0,1.3560399981284785e8
1.825,107203.99190915702,107259.87004807907,314.2263031248673,0.0,107693.0843618144,107749.42415877157,314.19603874334626,0.0,113274.39745791747,113345.38748040811,313.7524697553799,0.0,1.35606571669271e8
3.65,107199.63404725392,107256.14111539557,315.59546339259174,0.0,107688.43735905804,107745.37219850905,315.5349346295497,0.0,113265.93799361314,113340.53610551132,314.6477966536169,0.0,1.356091435256941e8
5.475,107195.27618535081,107252.41218271208,316.96462366031614,0.0,107683.79035630166,107741.32023824654,316.8738305157531,0.0,113257.47852930884,113335.68473061454,315.543123551854,0.0,1.3561171538211724e8
7.3,107190.91832344771,107248.6832500286,318.3337839280406,0.0,107679.1433535453,107737.26827798403,318.21272640195656,0.0,113249.01906500453,113330.83335571775,316.43845045009107,0.0,1.3561428723854038e8
9.125,107186.5604615446,107244.9543173451,319.70294419576504,0.0,107674.49635078893,107733.2163177215,319.55162228816,0.0,113240.55960070022,113325.98198082097,317.33377734832817,0.0,1.3561685909496352e8
10.95,107182.2025996415,107241.22538466161,321.0721044634895,0.0,107669.84934803257,107729.16435745898,320.8905181743634,0.0,113232.1001363959,113321.13060592418,318.2291042465652,0.0,1.3561943095138663e8
12.775,107177.84473773841,107237.49645197812,322.44126473121395,0.0,107665.20234527621,107725.11239719647,322.22941406056685,0.0,113223.64067209158,113316.2792310274,319.1244311448023,0.0,1.3562200280780977e8
14.6,107173.48687583531,107233.76751929463,323.81042499893834,0.0,107660.55534251984,107721.06043693396,323.5683099467703,0.0,113215.18120778727,113311.42785613061,320.01975804303936,0.0,1.356245746642329e8
16.425,107169.12901393221,107230.03858661113,325.1795852666628,0.0,107655.90833976347,107717.00847667144,324.9072058329737,0.0,113206.72174348295,113306.57648123383,320.91508494127646,0.0,1.3562714652065602e8
18.25,107164.0345927652,107225.0909665079,326.1138309936973,0.0,107650.50702122158,107711.70649928284,325.8388404620524,0.0,113197.43373484316,113298.71626985144,321.6093474108516,0.0,1.3562594302924874e8
20.075,107158.12995640788,107218.80279024292,326.56967072597286,0.0,107644.27595531559,107705.02950305553,326.3224877082939,0.0,113187.23432743431,113287.54633833491,322.0824390088987,0.0,1.3562058665522796e8
21.9,107152.22532005055,107212.51461397792,327.0255104582484,0.0,107638.04488940962,107698.35250682822,326.8061349545355,0.0,113177.03492002547,113276.37640681838,322.5555306069457,0.0,1.356152302812072e8
23.725,107146.32068369324,107206.22643771295,327.481350190524,0.0,107631.81382350363,107691.67551060091,327.289782200777,0.0,113166.83551261661,113265.20647530185,323.02862220499276,0.0,1.3560987390718642e8
25.55,107140.41604733592,107199.93826144797,327.9371899227995,0.0,107625.58275759766,107684.9985143736,327.7734294470185,0.0,113156.63610520777,113254.03654378532,323.5017138030398,0.0,1.3560451753316563e8
27.375,107134.51141097861,107193.65008518299,328.39302965507505,0.0,107619.35169169167,107678.32151814629,328.25707669326005,0.0,113146.43669779893,113242.86661226879,323.9748054010868,0.0,1.3559916115914488e8
29.2,107128.6067746213,107187.36190891801,328.84886938735065,0.0,107613.1206257857,107671.64452191898,328.74072393950155,0.0,113136.23729039008,113231.69668075225,324.4478969991339,0.0,1.355938047851241e8
31.025,107122.70213826398,107181.07373265304,329.3047091196262,0.0,107606.88955987971,107664.96752569167,329.2243711857431,0.0,113126.03788298124,113220.52674923572,324.92098859718095,0.0,1.3558844841110334e8
32.85,107116.79750190667,107174.78555638806,329.7605488519017,0.0,107600.65849397374,107658.29052946436,329.7080184319846,0.0,113115.8384755724,113209.35681771919,325.39408019522796,0.0,1.3558309203708255e8
34.675,107110.89286554935,107168.49738012308,330.2163885841773,0.0,107594.42742806775,107651.61353323705,330.1916656782261,0.0,113105.63906816355,113198.18688620266,325.867171793275,0.0,1.355777356630618e8
36.5,107101.6855690024,107158.36840280659,330.2170989295496,0.0,107584.95220918831,107641.17369170843,330.17239527265883,0.0,113093.09200774376,113180.80541516904,326.2081316516332,0.0,1.3556893587639245e8
38.325,107092.31313944595,107148.04738543753,330.19505280557667,0.0,107575.3147826602,107630.54570791475,330.12797898450106,0.0,113080.42756467343,113163.11336715957,326.54248492300695,0.0,1.3555996391909066e8
