t,V,Vtilde,tau_star,d_star,V_recomputed,Vtilde_linkage
0.0,116007.42335905971,116007.42341788142,304.2670715726667,0.0,115980.76455877969,115980.76455877969
1.825,115994.80137633457,115994.8014325974,305.51289450630264,0.0,115967.87800975026,115967.87800975026
3.65,115981.71826859358,115981.71832253861,306.7236175138585,0.0,115954.60423222488,115954.60423222488
5.475,115968.18971607095,115968.18976795861,307.90115066032143,0.0,115940.95527468118,115940.95527468118
7.3,115954.23393451962,115954.23398462422,309.0477367957565,0.0,115926.94037505463,115926.94037505463
9.125,115939.87154325802,115939.87159186088,310.1656614199084,0.0,115912.57306189643,115912.57306189643
10.95,115925.12532637484,115925.12537375727,311.25697987465384,0.0,115897.86915125031,115897.86915125031
12.775,115910.01990179557,115910.0199482313,312.3232826850845,0.0,115882.85058197922,115882.85058197922
14.6,115894.58131976202,115894.58136550982,313.36551671795047,0.0,115867.54041199289,115867.54041199289
16.425,115878.83661750001,115878.83666279679,314.3838752046032,0.0,115851.97102736663,115851.97102736663
18.25,115862.81336001026,115862.81340506507,315.3777639645944,0.0,115836.1754408973,115836.1754408973
20.075,115846.53919774266,115846.53924273243,316.34584484366445,0.0,115820.18870997864,115820.18870997864
21.9,115830.0414703245,115830.04151539067,317.2861509805761,0.0,115804.04730115228,115804.04730115228
23.725,115813.3468816266,115813.34692687434,318.1962625856969,0.0,115787.78284910708,115787.78284910708
25.55,115796.48126558003,115796.48131107888,319.0735269571041,0.0,115771.42867626219,115771.42867626219
27.375,115779.46945477067,115779.46950055729,319.9153029012482,0.0,115755.00772076323,115755.00772076323
29.2,115762.3352555457,115762.33530162805,320.7192078683426,0.0,115738.54066377987,115738.54066377987
31.025,115745.10152484034,115745.10157120344,321.48334611351174,0.0,115722.03945720852,115722.03945720852
32.85,115727.79033587188,115727.79038248454,322.20649804743067,0.0,115705.51646765004,115705.51646765004
34.675,115710.42321290969,115710.42325973166,322.8882544773753,0.0,115688.98227544902,115688.98227544902
36.5,115693.02141007587,115693.02145706503,323.52908434721337,0.0,115672.44363084856,115672.44363084856
38.325,115675.60620598187,115675.60625310076,324.13033042994334,0.0,115655.91188010701,115655.91188010701
40.15,115658.19918520264,115658.19923242436,324.69413369551376,0.0,115639.40167228723,115639.40167228723
41.975,115640.82247918074,115640.82252649314,325.223293221696,0.0,115622.92824800978,115622.92824800978
43.8,115623.49894297616,115623.49899038467,325.72107400243345,0.0,115606.5126613103,115606.5126613103
45.625,115606.25225000047,115606.25229752906,326.1909793633541,0.0,115590.17640567142,115590.17640567142
47.45,115589.10689399163,115589.1069416822,326.63650754789586,0.0,115573.94702275447,115573.94702275447
49.275,115572.0880953959,115572.0881433056,327.0609131549842,0.0,115557.85521841518,115557.85521841518
51.1,115555.22161735028,115555.22166554806,327.46699341088976,0.0,115541.92809524474,115541.92809524474
52.925,115538.53350393813,115538.53355249988,327.85691682562924,0.0,115526.19749001449,115526.19749001449
54.75,115522.04975970091,115522.04980870406,328.23210785263296,0.0,115510.69312302953,115510.69312302953
56.575,115505.79599402244,115505.79604354067,328.59319610451615,0.0,115495.4414876705,115495.4414876705
58.4,115489.79705660167,115489.79710669968,328.9400329395435,0.0,115480.46664832934,115480.46664832934
60.225,115474.07669060594,115474.07674133529,329.2717723390525,0.0,115465.79252459732,115465.79252459732
62.05,115458.65722826618,115458.65727966196,329.58700746963785,0.0,115451.43675982926,115451.43675982926
63.875,115443.55934982623,115443.5594019051,329.88394964971724,0.0,115437.41456739594,115437.41456739594
65.7,115428.80192126,115428.80197402003,330.1606330200497,0.0,115423.73768830867,115423.73768830867
67.525,115414.40191951588,115414.40197293732,330.41512633596415,0.0,115410.41832459062,115410.41832459062
69.35,115400.3744468249,115400.37450087257,330.64573309767894,0.0,115397.46193418418,115397.46193418418
71.175,115386.73282844062,115386.73288306726,330.8511627034978,0.0,115384.87669582038,115384.87669582038
73.0,115373.48878166899,115373.48883681948,331.0306582883155,0.0,115372.6696165086,115372.6696165086
74.825,115360.65263873078,115360.6526943465,331.1840711029948,0.0,115360.85045129612,115360.85045129612
76.65,115348.23360229986,115348.23365832315,331.3118763002817,0.0,115349.4231186252,115349.4231186252
78.475,115336.24001074904,115336.24006712735,331.4151303545161,0.0,115338.39513964183,115338.39513964183
80.3,115324.6795903174,115324.67964700655,331.49537556623534,0.0,115327.77723635818,115327.77723635818
82.125,115313.5596735169,115313.55973048335,331.5545017208158,0.0,115317.5761688092,115317.5761688092
83.95,115302.88736688897,115302.88742411124,331.59457857791574,0.0,115307.80317475238,115307.80317475238
85.775,115292.66965633119,115292.6697137998,331.61767516033603,0.0,115298.4659973768,115298.4659973768
87.6,115282.9134441586,115282.91350187501,331.6256826071079,0.0,115289.5704857115,115289.5704857115
89.425,115273.6255183126,115273.62557628742,331.62015661600253,0.0,115281.12857277085,115281.12857277085
91.25,115264.81246012899,115264.81251837911,331.6021933259364,0.0,115273.14536410187,115273.14536410187
93.075,115256.48050231818,115256.48056086399,331.5723491097024,0.0,115265.62947025588,115265.62947025588
94.9,115248.6353528638,115248.63541172595,331.530610497436,0.0,115258.58471457355,115258.58471457355
96.725,115241.28200309645,115241.28206229302,331.4764157391826,0.0,115252.0140385201,115252.0140385201
98.55,115234.42453907427,115234.42459861844,331.4087247825805,0.0,115245.92105689314,115245.92105689314
100.375,115228.06597458066,115228.0660344793,331.32613012288476,0.0,115240.30638943691,115240.30638943691
102.2,115222.20812165894,115222.20818191153,331.2269974635838,0.0,115235.16849289538,115235.16849289538
104.025,115216.85151090304,115216.85157150209,331.1096227104403,0.0,115230.50710907677,115230.50710907677
105.85,115211.99536908418,115211.99543001638,330.97239070481317,0.0,115226.32053014368,115226.32053014368
107.675,115207.63765654808,115207.63771779586,330.8139213537904,0.0,115222.6037665959,115222.6037665959
109.5,115203.77516163439,115203.77522317834,330.633190376689,0.0,115219.35261153847,115219.35261153847
111.325,115200.40364460551,115200.40370642682,330.4296145813796,0.0,115216.56367722875,115216.56367722875
113.15,115197.51801962123,115197.51808170439,330.2030951302017,0.0,115214.23213729355,115214.23213729355
114.975,115195.11256047805,115195.11262281296,329.9540163021209,0.0,115212.35359930663,115212.35359930663
116.8,115193.18111434554,115193.18117692931,329.68320141543865,0.0,115210.92232351468,115210.92232351468
118.625,115191.71730765741,115191.71737049546,329.39183145366337,0.0,115209.93416137752,115209.93416137752
120.45,115190.71472959802,115190.71479270414,329.0813351821896,0.0,115209.38303567425,115209.38303567425
122.275,115190.1670810978,115190.16714449368,328.75326187005817,0.0,115209.26577347606,115209.26577347606
124.1,115190.06828064877,115190.06834436255,328.4091489481392,0.0,115209.57564913246,115209.57564913246
125.925,115190.41252222953,115190.41258629377,328.05039696117086,0.0,115210.3108387809,115210.3108387809
127.75,115191.194284819,115191.19434926823,327.67816303959256,0.0,115211.4647266293,115211.4647266293
129.575,115192.4082969998,115192.4083618679,327.2932819701154,0.0,115213.03150666849,115213.03150666849
131.4,115194.04946365977,115194.04952897722,326.89622101602964,0.0,115215.00838621649,115215.00838621649
133.225,115196.11276451337,115196.11283030504,326.4870712316592,0.0,115217.3891518767,115217.3891518767
