t0,residual_exact,residual_fourier,Vtilde_exact,Vtilde_fourier
0.0,-11416.188509321304,-11416.188509321302,1.8330593897705365e7,1.8330593897705358e7
3.65,-11200.690639453813,-11197.012940944838,1.8298876578126203e7,1.829862084579893e7
7.3,-13872.750155528327,-13994.075768978337,1.8263726212990344e7,1.826414719196046e7
10.95,-19324.62622217108,-19033.424026220117,1.8211562903563567e7,1.8211208504178725e7
14.6,-14794.523799376184,-15027.487759836655,1.8154079617270477e7,1.8154155726597443e7
18.25,-3172.6228316978622,-3154.7638335077777,1.8130467182636768e7,1.8130463179345403e7
21.9,3826.258110751146,3868.4990557385854,1.8142855294606715e7,1.814278390855703e7
25.55,7049.92720715539,6821.420947326374,1.8172195545813758e7,1.8172287880868055e7
29.2,8845.642603666678,9036.265507036309,1.8210570883387573e7,1.821058466689324e7
32.85,9814.255689042962,9698.575889903079,1.8253976976221256e7,1.8253971409931313e7
36.5,10235.588714303482,10282.227448120448,1.8299884713138204e7,1.8299896359421022e7
40.15,10266.045011103315,10294.734741473703,1.834656510341571e7,1.8346577146525465e7
43.8,10009.14165625905,9924.614456015852,1.8392802030088756e7,1.839277368691933e7
47.45,9547.067762719847,9636.261766185838,1.8437734747080896e7,1.8437785611026596e7
51.1,8948.984633262742,8880.814024836473,1.848075959629863e7,1.848072592446851e7
54.75,8267.973553248441,8304.760374767646,1.852146728931756e7,1.8521487973400332e7
58.4,7539.597893064969,7547.298478220055,1.8559602237862717e7,1.855960758372204e7
62.05,6787.343826954231,6742.586130467689,1.8595031747494332e7,1.8595006644098315e7
65.7,6030.510410245107,6085.784797012275,1.862771747277746e7,1.862775967665842e7
69.35,5287.628808239523,5237.684402027995,1.8657688654235955e7,1.8657655729538165e7
73.0,4573.722493892858,4606.180020526288,1.8685020949109334e7,1.8685044056112617e7
76.65,3896.9529091286927,3895.5677603058466,1.8709822904329162e7,1.8709821770929575e7
80.3,3259.3589028024176,3232.830835599084,1.873222727988692e7,1.8732209304135513e7
83.95,2661.260973778254,2699.9223161351547,1.87523830507955e7,1.8752416738416463e7
87.6,2104.543216339864,2064.205943118533,1.877044660982394e7,1.877041650505253e7
91.25,1591.7645604864756,1621.68339383472,1.878657428534353e7,1.878659840847396e7
94.9,1123.159031188387,1116.5853262966841,1.88009187456452e7,1.8800912915529594e7
98.55,695.6701482920616,679.9078387963351,1.8813628504046123e7,1.8813616622095145e7
102.2,305.2867931204637,333.8899493954921,1.8824847753518794e7,1.8824874701439794e7
105.85,-50.23745008108472,-84.44952578048114,1.8834714486562796e7,1.8834687068930402e7
109.5,-371.264642477468,-343.125452900473,1.8843357917293336e7,1.8843382558479622e7
113.15,-658.5993369857197,-668.6783868654377,1.8850897527558476e7,1.885088814807453e7
116.8,-915.1894427843727,-923.5793226062947,1.8857444272752944e7,1.8857437466436423e7
120.45,-1145.0762333392663,-1123.4362726468466,1.886310221731914e7,1.8863123714379065e7
124.1,-1351.1114645849707,-1380.8887714864934,1.8867968625387806e7,1.886794357206474e7
127.75,-1534.1843941572633,-1507.4299584647363,1.887213269636939e7,1.887215762422646e7
131.4,-1694.810479664724,-1707.5565055041204,1.8875674848103393e7,1.887566260813534e7
135.05,-1834.9723639751896,-1837.7873118805478,1.8878667674105126e7,1.8878665256158758e7
138.7,-1957.953429757105,-1941.6033634129938,1.888117768843796e7,1.888119457357799e7
142.35,-2066.500316256458,-2092.75190034447,1.8883266055022027e7,1.8883243122927688e7
146.0,-2161.6210584893693,-2136.021697735242,1.8884987864015676e7,1.8885012949394464e7
149.65,-2243.478673148835,-2258.43583853562,1.8886391322785135e7,1.8886376630269364e7
153.3,-2313.1560677996877,-2311.436004049975,1.8887518222959805e7,1.8887519774525e7
156.95,-2373.093836962958,-2361.0721429016608,1.8888405477242064e7,1.8888418274699148e7
160.6,-2425.7473488970586,-2448.9761540308878,1.888908615886011e7,1.8889065209525142e7
164.25,-2472.167978769129,-2447.577317456212,1.8889589183374394e7,1.8889614344956584e7
167.9,-2512.2795102346468,-2529.18451953828,1.8889938461947612e7,1.8889921544784945e7
171.55,-2546.4032026825016,-2540.7643847890763,1.8890152928304467e7,1.889015823471992e7
175.2,-2576.1922365492815,-2567.9484330540954,1.8890247751721714e7,1.8890256755206283e7
178.85,-2603.7707231921413,-2624.2502813768137,1.8890235514218304e7,1.889021650357626e7
182.5,-2630.2284358387856,-2606.5520293467216,1.8890126236693647e7,1.8890151419003855e7
